RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"305","Cameron Bairstow, PF","CHI","18","3.6","-1.41","-0.77","-2.18","0.01","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/8/sort/RPM"
"59","Louis Williams, SG","TOR","80","25.2","4.49","-1.97","2.52","6.02","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"347","Ramon Sessions, PG","SAC/WSH","64","18.6","-2.50","-0.31","-2.81","-0.34","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"443","Ray McCallum, PG","SAC","68","21.1","-1.48","-2.95","-4.43","-1.88","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/12/sort/RPM"
"77","Rudy Gobert, C","UTAH","82","26.3","-1.66","3.63","1.97","5.54","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"394","Ish Smith, PG","PHI/OKC","55","15.1","-1.95","-1.58","-3.53","-0.61","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"419","Matt Bonner, C","SA","72","13.0","-1.45","-2.52","-3.97","-0.94","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"243","Evan Turner, SG","BOS","82","27.6","-1.09","-0.28","-1.37","1.39","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"112","Joe Johnson, SF","BKN","80","34.9","2.11","-1.24","0.87","5.41","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/3/sort/RPM"
"411","Erick Green, PG","DEN","43","9.5","-1.29","-2.52","-3.81","-0.38","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
